panel,basis,variant,n,mae_ev
a,aug-SZV-t1,initial,99,0.304853535354
b,aug-SZV-t1,initial,99,0.695638383838
a,aug-SZV-t1,optimized,99,0.359655555556
b,aug-SZV-t1,optimized,99,0.916727272727
a,aug-SZV-t2,initial,99,0.182118181818
b,aug-SZV-t2,initial,99,0.348618181818
a,aug-SZV-t2,optimized,99,0.123726262626
b,aug-SZV-t2,optimized,99,0.307462626263
a,aug-DZVP-t1,initial,99,0.103714141414
b,aug-DZVP-t1,initial,99,0.262113131313
a,aug-DZVP-t1,optimized,99,0.059372727273
b,aug-DZVP-t1,optimized,99,0.186793939394
a,aug-DZVP-t2,initial,99,0.095423232323
b,aug-DZVP-t2,initial,99,0.267549494949
a,aug-DZVP-t2,optimized,99,0.038564646465
b,aug-DZVP-t2,optimized,99,0.163246464646
