system,orbital,series,method,neighbor_radius_angstrom,point,x_ri_ao_ratio,valid_calculations,error_raw_meV,error_plotted_meV
GW100,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1,1.0,100,121.83999999999993,121.83999999999993
GW100,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1,1.0,100,60.62000000000001,60.62000000000001
GW100,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1p5,1.5,100,39.849999999999994,39.849999999999994
GW100,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1p5,1.5,100,29.160000000000018,29.160000000000018
GW100,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-2,2.0,100,17.689999999999877,17.689999999999877
GW100,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-2,2.0,100,16.329999999999988,16.329999999999988
GW100,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-3,3.0,100,9.579999999999895,9.579999999999895
GW100,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-3,3.0,100,14.430000000000014,14.430000000000014
GW100,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-4,4.0,100,9.029999999999943,9.029999999999943
GW100,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-4,4.0,100,14.910000000000014,14.910000000000014
GW100,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-5,5.0,100,8.91999999999995,8.91999999999995
GW100,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-5,5.0,100,14.74000000000001,14.74000000000001
GW100,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-1,1.0,100,391.56999999999994,391.56999999999994
GW100,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-1,1.0,100,115.62000000000002,115.62000000000002
GW100,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-1p5,1.5,100,89.1299999999999,89.1299999999999
GW100,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-1p5,1.5,100,31.43000000000001,31.43000000000001
GW100,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-2,2.0,100,41.56999999999991,41.56999999999991
GW100,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-2,2.0,100,22.56,22.56
GW100,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-3,3.0,100,10.27999999999991,10.27999999999991
GW100,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-3,3.0,100,13.910000000000023,13.910000000000023
GW100,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-4,4.0,100,8.569999999999931,8.569999999999931
GW100,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-4,4.0,100,12.610000000000005,12.610000000000005
GW100,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-5,5.0,100,8.309999999999942,8.309999999999942
GW100,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-5,5.0,100,12.38000000000001,12.38000000000001
GW100,homo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-1,1.0,100,395.49,395.49
