panel,system,radius_angstrom,orbital,ri_ao_ratio,rs_ao_ratio,published_meV
a,GW100,0.5,HOMO,2,2,975.45
a,GW100,0.5,HOMO,2,3,433.67
a,GW100,0.5,HOMO,2,4,203.26
a,GW100,0.5,HOMO,2,5,95.69
a,GW100,0.5,HOMO,2,6,68.61
a,GW100,0.5,HOMO,2,7,49.71
a,GW100,0.5,HOMO,2,8,44.54
a,GW100,0.5,HOMO,2,9,44.27
a,GW100,0.5,HOMO,2,10,43.04
a,GW100,0.5,HOMO,3,2,940.16
a,GW100,0.5,HOMO,3,3,400.06
a,GW100,0.5,HOMO,3,4,173.5
a,GW100,0.5,HOMO,3,5,68.19
a,GW100,0.5,HOMO,3,6,39.54
a,GW100,0.5,HOMO,3,7,19.78
a,GW100,0.5,HOMO,3,8,15.03
a,GW100,0.5,HOMO,3,9,13.28
a,GW100,0.5,HOMO,3,10,12.33
a,GW100,0.5,HOMO,4,2,929.24
a,GW100,0.5,HOMO,4,3,392.77
a,GW100,0.5,HOMO,4,4,167.89
a,GW100,0.5,HOMO,4,5,64.59
a,GW100,0.5,HOMO,4,6,36.48
a,GW100,0.5,HOMO,4,7,16.18
a,GW100,0.5,HOMO,4,8,12.46
a,GW100,0.5,HOMO,4,9,10.34
a,GW100,0.5,HOMO,4,10,9.89
a,GW100,0.5,HOMO,5,2,925.6
a,GW100,0.5,HOMO,5,3,389.7
a,GW100,0.5,HOMO,5,4,166.61
a,GW100,0.5,HOMO,5,5,63.77
a,GW100,0.5,HOMO,5,6,36.1
a,GW100,0.5,HOMO,5,7,15.56
a,GW100,0.5,HOMO,5,8,12.02
a,GW100,0.5,HOMO,5,9,9.84
a,GW100,0.5,HOMO,5,10,9.26
b,GW100,0.5,LUMO,2,2,539.94
b,GW100,0.5,LUMO,2,3,193.81
b,GW100,0.5,LUMO,2,4,115.96
b,GW100,0.5,LUMO,2,5,44.32
b,GW100,0.5,LUMO,2,6,26.57
b,GW100,0.5,LUMO,2,7,17.66
b,GW100,0.5,LUMO,2,8,14.75
b,GW100,0.5,LUMO,2,9,14.31
b,GW100,0.5,LUMO,2,10,14.33
b,GW100,0.5,LUMO,3,2,540.21
b,GW100,0.5,LUMO,3,3,196.68
b,GW100,0.5,LUMO,3,4,120.25
b,GW100,0.5,LUMO,3,5,45.08
b,GW100,0.5,LUMO,3,6,24.64
b,GW100,0.5,LUMO,3,7,12.68
b,GW100,0.5,LUMO,3,8,8.81
b,GW100,0.5,LUMO,3,9,7.23
b,GW100,0.5,LUMO,3,10,7.15
b,GW100,0.5,LUMO,4,2,540.7
b,GW100,0.5,LUMO,4,3,198.29
b,GW100,0.5,LUMO,4,4,121.54
b,GW100,0.5,LUMO,4,5,45.97
b,GW100,0.5,LUMO,4,6,26.01
b,GW100,0.5,LUMO,4,7,13.08
b,GW100,0.5,LUMO,4,8,8.62
b,GW100,0.5,LUMO,4,9,7.02
b,GW100,0.5,LUMO,4,10,7.51
b,GW100,0.5,LUMO,5,2,541.08
b,GW100,0.5,LUMO,5,3,198.22
b,GW100,0.5,LUMO,5,4,121.62
b,GW100,0.5,LUMO,5,5,45.91
b,GW100,0.5,LUMO,5,6,26.02
b,GW100,0.5,LUMO,5,7,12.94
b,GW100,0.5,LUMO,5,8,8.34
b,GW100,0.5,LUMO,5,9,6.87
b,GW100,0.5,LUMO,5,10,7.41
c,GW100,3.0,HOMO,2,2,800.75
c,GW100,3.0,HOMO,2,3,273.55
c,GW100,3.0,HOMO,2,4,97.33
c,GW100,3.0,HOMO,2,5,56.19
c,GW100,3.0,HOMO,2,6,43.44
c,GW100,3.0,HOMO,2,7,41.49
c,GW100,3.0,HOMO,2,8,40.53
c,GW100,3.0,HOMO,2,9,40.25
c,GW100,3.0,HOMO,2,10,40.86
c,GW100,3.0,HOMO,3,2,768.1
c,GW100,3.0,HOMO,3,3,240.18
c,GW100,3.0,HOMO,3,4,68.51
c,GW100,3.0,HOMO,3,5,26.02
c,GW100,3.0,HOMO,3,6,12.23
c,GW100,3.0,HOMO,3,7,9.82
c,GW100,3.0,HOMO,3,8,9.31
c,GW100,3.0,HOMO,3,9,8.9
c,GW100,3.0,HOMO,3,10,9.74
c,GW100,3.0,HOMO,4,2,758.46
c,GW100,3.0,HOMO,4,3,231.96
c,GW100,3.0,HOMO,4,4,63.99
c,GW100,3.0,HOMO,4,5,21.68
c,GW100,3.0,HOMO,4,6,8.28
c,GW100,3.0,HOMO,4,7,6.46
c,GW100,3.0,HOMO,4,8,5.64
c,GW100,3.0,HOMO,4,9,5.06
c,GW100,3.0,HOMO,4,10,6.32
c,GW100,3.0,HOMO,5,2,755.79
c,GW100,3.0,HOMO,5,3,228.92
c,GW100,3.0,HOMO,5,4,63.03
c,GW100,3.0,HOMO,5,5,20.71
c,GW100,3.0,HOMO,5,6,7.65
c,GW100,3.0,HOMO,5,7,5.6
c,GW100,3.0,HOMO,5,8,4.93
c,GW100,3.0,HOMO,5,9,4.45
c,GW100,3.0,HOMO,5,10,5.68
d,GW100,3.0,LUMO,2,2,253.04
d,GW100,3.0,LUMO,2,3,107.07
d,GW100,3.0,LUMO,2,4,37.31
d,GW100,3.0,LUMO,2,5,18.04
d,GW100,3.0,LUMO,2,6,14.06
d,GW100,3.0,LUMO,2,7,13.56
d,GW100,3.0,LUMO,2,8,13.2
d,GW100,3.0,LUMO,2,9,13.6
d,GW100,3.0,LUMO,2,10,13.7
d,GW100,3.0,LUMO,3,2,238.65
d,GW100,3.0,LUMO,3,3,99.5
d,GW100,3.0,LUMO,3,4,31.1
d,GW100,3.0,LUMO,3,5,10.39
d,GW100,3.0,LUMO,3,6,4.83
d,GW100,3.0,LUMO,3,7,4.09
d,GW100,3.0,LUMO,3,8,3.79
d,GW100,3.0,LUMO,3,9,3.91
d,GW100,3.0,LUMO,3,10,4.65
d,GW100,3.0,LUMO,4,2,235.9
d,GW100,3.0,LUMO,4,3,97.64
d,GW100,3.0,LUMO,4,4,29.54
d,GW100,3.0,LUMO,4,5,9.32
d,GW100,3.0,LUMO,4,6,3.71
d,GW100,3.0,LUMO,4,7,2.39
d,GW100,3.0,LUMO,4,8,2.39
d,GW100,3.0,LUMO,4,9,2.51
d,GW100,3.0,LUMO,4,10,3.61
d,GW100,3.0,LUMO,5,2,234.98
d,GW100,3.0,LUMO,5,3,97.11
d,GW100,3.0,LUMO,5,4,29.01
d,GW100,3.0,LUMO,5,5,8.85
d,GW100,3.0,LUMO,5,6,3.18
d,GW100,3.0,LUMO,5,7,1.96
d,GW100,3.0,LUMO,5,8,2.05
d,GW100,3.0,LUMO,5,9,2.25
d,GW100,3.0,LUMO,5,10,3.28
e,GW100,5.0,HOMO,2,2,755.88
e,GW100,5.0,HOMO,2,3,258.12
e,GW100,5.0,HOMO,2,4,93.0
e,GW100,5.0,HOMO,2,5,55.21
e,GW100,5.0,HOMO,2,6,42.49
e,GW100,5.0,HOMO,2,7,41.05
e,GW100,5.0,HOMO,2,8,40.27
e,GW100,5.0,HOMO,2,9,39.88
e,GW100,5.0,HOMO,2,10,40.43
e,GW100,5.0,HOMO,3,2,721.36
e,GW100,5.0,HOMO,3,3,223.44
e,GW100,5.0,HOMO,3,4,64.11
e,GW100,5.0,HOMO,3,5,24.83
e,GW100,5.0,HOMO,3,6,11.3
e,GW100,5.0,HOMO,3,7,9.45
e,GW100,5.0,HOMO,3,8,8.95
e,GW100,5.0,HOMO,3,9,8.56
e,GW100,5.0,HOMO,3,10,9.52
e,GW100,5.0,HOMO,4,2,712.62
e,GW100,5.0,HOMO,4,3,215.53
e,GW100,5.0,HOMO,4,4,59.91
e,GW100,5.0,HOMO,4,5,20.46
e,GW100,5.0,HOMO,4,6,7.62
e,GW100,5.0,HOMO,4,7,5.93
e,GW100,5.0,HOMO,4,8,5.33
e,GW100,5.0,HOMO,4,9,4.72
e,GW100,5.0,HOMO,4,10,6.12
e,GW100,5.0,HOMO,5,2,709.52
e,GW100,5.0,HOMO,5,3,213.69
e,GW100,5.0,HOMO,5,4,58.74
e,GW100,5.0,HOMO,5,5,19.66
e,GW100,5.0,HOMO,5,6,6.82
e,GW100,5.0,HOMO,5,7,5.1
e,GW100,5.0,HOMO,5,8,4.58
e,GW100,5.0,HOMO,5,9,4.12
e,GW100,5.0,HOMO,5,10,5.48
f,GW100,5.0,LUMO,2,2,243.33
f,GW100,5.0,LUMO,2,3,106.72
