panel,system,metric,basis,variant,sample_count,value_ev
a,GW100,PBE gap MAE,aug-SZV-t1,initial,99,0.304853535354
a,GW100,PBE gap MAE,aug-SZV-t2,initial,99,0.182118181818
a,GW100,PBE gap MAE,aug-DZVP-t1,initial,99,0.103714141414
a,GW100,PBE gap MAE,aug-DZVP-t2,initial,99,0.0954232323232
a,GW100,PBE gap MAE,aug-SZV-t1,optimized,99,0.359655555556
a,GW100,PBE gap MAE,aug-SZV-t2,optimized,99,0.123726262626
a,GW100,PBE gap MAE,aug-DZVP-t1,optimized,99,0.0593727272727
a,GW100,PBE gap MAE,aug-DZVP-t2,optimized,99,0.0385646464646
b,GW100,G0W0 gap MAE,aug-SZV-t1,initial,99,0.695638383838
b,GW100,G0W0 gap MAE,aug-SZV-t2,initial,99,0.348618181818
b,GW100,G0W0 gap MAE,aug-DZVP-t1,initial,99,0.262113131313
b,GW100,G0W0 gap MAE,aug-DZVP-t2,initial,99,0.267549494949
b,GW100,G0W0 gap MAE,aug-SZV-t1,optimized,99,0.916727272727
b,GW100,G0W0 gap MAE,aug-SZV-t2,optimized,99,0.307462626263
b,GW100,G0W0 gap MAE,aug-DZVP-t1,optimized,99,0.186793939394
b,GW100,G0W0 gap MAE,aug-DZVP-t2,optimized,99,0.163246464646
c,Si45H56,PBE gap,aug-SZV-t1,initial,1,3.644
c,Si45H56,PBE gap,aug-SZV-t2,initial,1,3.322
c,Si45H56,PBE gap,aug-DZVP-t1,initial,1,3.174
c,Si45H56,PBE gap,aug-DZVP-t2,initial,1,3.164
c,Si45H56,PBE gap,aug-SZV-t1,optimized,1,3.554
c,Si45H56,PBE gap,aug-SZV-t2,optimized,1,3.163
c,Si45H56,PBE gap,aug-DZVP-t1,optimized,1,3.155
c,Si45H56,PBE gap,aug-DZVP-t2,optimized,1,3.148
d,Si45H56,G0W0 gap,aug-SZV-t1,initial,1,6.301
d,Si45H56,G0W0 gap,aug-SZV-t2,initial,1,5.89
d,Si45H56,G0W0 gap,aug-DZVP-t1,initial,1,5.748
d,Si45H56,G0W0 gap,aug-DZVP-t2,initial,1,5.693
d,Si45H56,G0W0 gap,aug-SZV-t1,optimized,1,6.205
d,Si45H56,G0W0 gap,aug-SZV-t2,optimized,1,5.826
d,Si45H56,G0W0 gap,aug-DZVP-t1,optimized,1,5.743
d,Si45H56,G0W0 gap,aug-DZVP-t2,optimized,1,5.703
e,Si293H172,PBE gap,aug-SZV-t1,initial,1,2.116
e,Si293H172,PBE gap,aug-SZV-t2,initial,1,1.804
e,Si293H172,PBE gap,aug-DZVP-t1,initial,1,1.676
e,Si293H172,PBE gap,aug-DZVP-t2,initial,1,1.668
e,Si293H172,PBE gap,aug-SZV-t1,optimized,1,1.989
e,Si293H172,PBE gap,aug-SZV-t2,optimized,1,1.665
e,Si293H172,PBE gap,aug-DZVP-t1,optimized,1,1.661
e,Si293H172,PBE gap,aug-DZVP-t2,optimized,1,1.656
f,Si293H172,G0W0 gap,aug-SZV-t1,initial,1,3.762
f,Si293H172,G0W0 gap,aug-SZV-t2,initial,1,3.418
f,Si293H172,G0W0 gap,aug-DZVP-t1,initial,1,3.302
f,Si293H172,G0W0 gap,aug-DZVP-t2,initial,1,3.26
f,Si293H172,G0W0 gap,aug-SZV-t1,optimized,1,3.589
f,Si293H172,G0W0 gap,aug-SZV-t2,optimized,1,3.386
f,Si293H172,G0W0 gap,aug-DZVP-t1,optimized,1,3.301
f,Si293H172,G0W0 gap,aug-DZVP-t2,optimized,1,3.28
