panel,system,metric,basis,variant,sample_count,value_ev
a,GW100,PBE gap MAE,aug-SZV-t1,initial,99,0.304853535354
a,GW100,PBE gap MAE,aug-SZV-t2,initial,99,0.182118181818
a,GW100,PBE gap MAE,aug-DZVP-t1,initial,99,0.103714141414
a,GW100,PBE gap MAE,aug-DZVP-t2,initial,99,0.095423232323
a,GW100,PBE gap MAE,aug-SZV-t1,optimized,99,0.359655555556
a,GW100,PBE gap MAE,aug-SZV-t2,optimized,99,0.123726262626
a,GW100,PBE gap MAE,aug-DZVP-t1,optimized,99,0.059372727273
a,GW100,PBE gap MAE,aug-DZVP-t2,optimized,99,0.038564646465
b,GW100,G0W0 gap MAE,aug-SZV-t1,initial,99,0.695638383838
b,GW100,G0W0 gap MAE,aug-SZV-t2,initial,99,0.348618181818
b,GW100,G0W0 gap MAE,aug-DZVP-t1,initial,99,0.262113131313
b,GW100,G0W0 gap MAE,aug-DZVP-t2,initial,99,0.267549494949
b,GW100,G0W0 gap MAE,aug-SZV-t1,optimized,99,0.916727272727
b,GW100,G0W0 gap MAE,aug-SZV-t2,optimized,99,0.307462626263
b,GW100,G0W0 gap MAE,aug-DZVP-t1,optimized,99,0.186793939394
b,GW100,G0W0 gap MAE,aug-DZVP-t2,optimized,99,0.163246464646
c,Si45H56,PBE gap,aug-SZV-t1,initial,1,3.644000000000
c,Si45H56,PBE gap,aug-SZV-t2,initial,1,3.322000000000
c,Si45H56,PBE gap,aug-DZVP-t1,initial,1,3.174000000000
c,Si45H56,PBE gap,aug-DZVP-t2,initial,1,3.164000000000
c,Si45H56,PBE gap,aug-SZV-t1,optimized,1,3.554000000000
c,Si45H56,PBE gap,aug-SZV-t2,optimized,1,3.163000000000
c,Si45H56,PBE gap,aug-DZVP-t1,optimized,1,3.155000000000
c,Si45H56,PBE gap,aug-DZVP-t2,optimized,1,3.148000000000
d,Si45H56,G0W0 gap,aug-SZV-t1,initial,1,6.301000000000
d,Si45H56,G0W0 gap,aug-SZV-t2,initial,1,5.890000000000
d,Si45H56,G0W0 gap,aug-DZVP-t1,initial,1,5.748000000000
d,Si45H56,G0W0 gap,aug-DZVP-t2,initial,1,5.693000000000
d,Si45H56,G0W0 gap,aug-SZV-t1,optimized,1,6.205000000000
d,Si45H56,G0W0 gap,aug-SZV-t2,optimized,1,5.826000000000
d,Si45H56,G0W0 gap,aug-DZVP-t1,optimized,1,5.743000000000
d,Si45H56,G0W0 gap,aug-DZVP-t2,optimized,1,5.703000000000
e,Si293H172,PBE gap,aug-SZV-t1,initial,1,2.116000000000
e,Si293H172,PBE gap,aug-SZV-t2,initial,1,1.804000000000
e,Si293H172,PBE gap,aug-DZVP-t1,initial,1,1.676000000000
e,Si293H172,PBE gap,aug-DZVP-t2,initial,1,1.668000000000
e,Si293H172,PBE gap,aug-SZV-t1,optimized,1,1.989000000000
e,Si293H172,PBE gap,aug-SZV-t2,optimized,1,1.665000000000
e,Si293H172,PBE gap,aug-DZVP-t1,optimized,1,1.661000000000
e,Si293H172,PBE gap,aug-DZVP-t2,optimized,1,1.656000000000
f,Si293H172,G0W0 gap,aug-SZV-t1,initial,1,3.762000000000
f,Si293H172,G0W0 gap,aug-SZV-t2,initial,1,3.418000000000
f,Si293H172,G0W0 gap,aug-DZVP-t1,initial,1,3.302000000000
f,Si293H172,G0W0 gap,aug-DZVP-t2,initial,1,3.260000000000
f,Si293H172,G0W0 gap,aug-SZV-t1,optimized,1,3.589000000000
f,Si293H172,G0W0 gap,aug-SZV-t2,optimized,1,3.386000000000
f,Si293H172,G0W0 gap,aug-DZVP-t1,optimized,1,3.301000000000
f,Si293H172,G0W0 gap,aug-DZVP-t2,optimized,1,3.280000000000
