system,orbital,series,method,neighbor_radius_angstrom,point,x_ri_ao_ratio,valid_calculations,error_raw_meV,error_plotted_meV
GW100,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1,1,100,121.84,121.84
GW100,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1,1,100,60.62,60.62
GW100,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1p5,1.5,100,39.85,39.85
GW100,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1p5,1.5,100,29.16,29.16
GW100,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-2,2,100,17.69,17.69
GW100,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-2,2,100,16.33,16.33
GW100,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-3,3,100,9.58,9.58
GW100,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-3,3,100,14.43,14.43
GW100,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-4,4,100,9.03,9.03
GW100,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-4,4,100,14.91,14.91
GW100,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-5,5,100,8.92,8.92
GW100,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-5,5,100,14.74,14.74
GW100,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-1,1,100,391.57,391.57
GW100,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-1,1,100,115.62,115.62
GW100,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-1p5,1.5,100,89.13,89.13
GW100,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-1p5,1.5,100,31.43,31.43
GW100,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-2,2,100,41.57,41.57
GW100,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-2,2,100,22.56,22.56
GW100,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-3,3,100,10.28,10.28
GW100,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-3,3,100,13.91,13.91
GW100,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-4,4,100,8.57,8.57
GW100,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-4,4,100,12.61,12.61
GW100,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-5,5,100,8.31,8.31
GW100,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-5,5,100,12.38,12.38
GW100,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-1,1,100,395.49,395.49
GW100,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-1,1,100,126.32,126.32
GW100,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-1p5,1.5,100,90.62,90.62
GW100,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-1p5,1.5,100,34.77,34.77
GW100,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-2,2,100,37.97,37.97
GW100,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-2,2,100,23.61,23.61
GW100,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-3,3,100,10.52,10.52
GW100,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-3,3,100,14.05,14.05
GW100,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-4,4,100,8.48,8.48
GW100,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-4,4,100,12.63,12.63
GW100,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-5,5,100,8.3,8.3
GW100,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-5,5,100,12.45,12.45
GW100,homo,tabulated,tabulated_RI,,Tabulated_t1e-1,0.835678672774,100,1105.92,1105.92
GW100,lumo,tabulated,tabulated_RI,,Tabulated_t1e-1,0.835678672774,100,375.71,375.71
GW100,homo,tabulated,tabulated_RI,,Tabulated_t1e-2,1.38416332521,100,405.82,405.82
GW100,lumo,tabulated,tabulated_RI,,Tabulated_t1e-2,1.38416332521,100,136.18,136.18
GW100,homo,tabulated,tabulated_RI,,Tabulated_t1e-3,1.86034731581,100,100.14,100.14
GW100,lumo,tabulated,tabulated_RI,,Tabulated_t1e-3,1.86034731581,100,46.62,46.62
GW100,homo,tabulated,tabulated_RI,,Tabulated_t1e-4,2.08677520387,100,75.04,75.04
GW100,lumo,tabulated,tabulated_RI,,Tabulated_t1e-4,2.08677520387,100,35.29,35.29
GW100,homo,tabulated,tabulated_RI,,Tabulated_t1e-5,2.83177175325,91,17.8901098901,17.8901098901
GW100,lumo,tabulated,tabulated_RI,,Tabulated_t1e-5,2.83177175325,91,21.4175824176,21.4175824176
GW100,homo,tabulated,tabulated_RI,,Tabulated_t1e-6,3.32127031409,89,14.3707865169,14.3707865169
GW100,lumo,tabulated,tabulated_RI,,Tabulated_t1e-6,3.32127031409,89,18.5168539326,18.5168539326
