panel,system,radius_angstrom,orbital,ri_ao_ratio,rs_ao_ratio,coverage,raw_error_meV,error_meV,p95_abs_error_meV,max_abs_error_meV,worst_molecule,worst_signed_error_meV
a,GW100,0.5,HOMO,2,2,100/100,975.45,975.45,2586.05,3577,16_F2,3577
a,GW100,0.5,HOMO,2,3,100/100,433.67,433.67,1081.05,1624,16_F2,1624
a,GW100,0.5,HOMO,2,4,100/100,203.26,203.26,445.5,853,100_CuCN,853
a,GW100,0.5,HOMO,2,5,100/100,95.69,95.69,217,867,100_CuCN,867
a,GW100,0.5,HOMO,2,6,100/100,68.61,68.61,194.1,938,100_CuCN,938
a,GW100,0.5,HOMO,2,7,100/100,49.71,49.71,127.5,877,100_CuCN,877
a,GW100,0.5,HOMO,2,8,100/100,44.54,44.54,132.15,872,100_CuCN,872
a,GW100,0.5,HOMO,2,9,100/100,44.27,44.27,129.2,869,100_CuCN,869
a,GW100,0.5,HOMO,2,10,100/100,43.04,43.04,122.5,869,100_CuCN,869
a,GW100,0.5,HOMO,3,2,100/100,940.16,940.16,2471.2,3461,16_F2,3461
a,GW100,0.5,HOMO,3,3,100/100,400.06,400.06,993.75,1538,16_F2,1538
a,GW100,0.5,HOMO,3,4,100/100,173.5,173.5,410.9,794,19_I2,794
a,GW100,0.5,HOMO,3,5,100/100,68.19,68.19,182.15,380,38_CI4,380
a,GW100,0.5,HOMO,3,6,100/100,39.54,39.54,131.6,192,64_AlI3,192
a,GW100,0.5,HOMO,3,7,100/100,19.78,19.78,57.05,106,88_C6F6,-106
a,GW100,0.5,HOMO,3,8,100/100,15.03,15.03,52.2,115,88_C6F6,-115
a,GW100,0.5,HOMO,3,9,100/100,13.28,13.28,38.05,112,88_C6F6,-112
a,GW100,0.5,HOMO,3,10,100/100,12.33,12.33,43.3,84,12_Rb2,84
a,GW100,0.5,HOMO,4,2,100/100,929.24,929.24,2463.05,3446,16_F2,3446
a,GW100,0.5,HOMO,4,3,100/100,392.77,392.77,955.45,1525,16_F2,1525
a,GW100,0.5,HOMO,4,4,100/100,167.89,167.89,401.45,787,19_I2,787
a,GW100,0.5,HOMO,4,5,100/100,64.59,64.59,174.1,370,38_CI4,370
a,GW100,0.5,HOMO,4,6,100/100,36.48,36.48,123.8,187,64_AlI3,187
a,GW100,0.5,HOMO,4,7,100/100,16.18,16.18,50.15,112,88_C6F6,-112
a,GW100,0.5,HOMO,4,8,100/100,12.46,12.46,38.2,121,88_C6F6,-121
a,GW100,0.5,HOMO,4,9,100/100,10.34,10.34,27.4,118,88_C6F6,-118
