panel,system,radius_angstrom,orbital,ri_ao_ratio,rs_ao_ratio,coverage,recomputed_meV,plotted_recomputed_meV,published_meV,difference_meV,p95_abs_error_meV,max_abs_error_meV,worst_molecule,worst_signed_error_meV,reference_status
a,GW100,0.5,HOMO,2,10,100/100,43.04,43.04,43.04,-3.5527136788e-14,122.5,869,100_CuCN,869,TensorGW reference output
a,GW100,0.5,HOMO,2,2,100/100,975.45,975.45,975.45,-2.27373675443e-13,2586.05,3577,16_F2,3577,TensorGW reference output
a,GW100,0.5,HOMO,2,3,100/100,433.67,433.67,433.67,-1.70530256582e-13,1081.05,1624,16_F2,1624,TensorGW reference output
a,GW100,0.5,HOMO,2,4,100/100,203.26,203.26,203.26,-5.68434188608e-14,445.5,853,100_CuCN,853,TensorGW reference output
a,GW100,0.5,HOMO,2,5,100/100,95.69,95.69,95.69,4.26325641456e-14,217,867,100_CuCN,867,TensorGW reference output
a,GW100,0.5,HOMO,2,6,100/100,68.61,68.61,68.61,-1.42108547152e-14,194.1,938,100_CuCN,938,TensorGW reference output
a,GW100,0.5,HOMO,2,7,100/100,49.71,49.71,49.71,-3.5527136788e-14,127.5,877,100_CuCN,877,TensorGW reference output
a,GW100,0.5,HOMO,2,8,100/100,44.54,44.54,44.54,9.23705556488e-14,132.15,872,100_CuCN,872,TensorGW reference output
a,GW100,0.5,HOMO,2,9,100/100,44.27,44.27,44.27,1.42108547152e-14,129.2,869,100_CuCN,869,TensorGW reference output
a,GW100,0.5,HOMO,3,10,100/100,12.33,12.33,12.33,-4.79616346638e-14,43.3,84,12_Rb2,84,TensorGW reference output
a,GW100,0.5,HOMO,3,2,100/100,940.16,940.16,940.16,-1.13686837722e-13,2471.2,3461,16_F2,3461,TensorGW reference output
a,GW100,0.5,HOMO,3,3,100/100,400.06,400.06,400.06,0,993.75,1538,16_F2,1538,TensorGW reference output
a,GW100,0.5,HOMO,3,4,100/100,173.5,173.5,173.5,-8.52651282912e-14,410.9,794,19_I2,794,TensorGW reference output
a,GW100,0.5,HOMO,3,5,100/100,68.19,68.19,68.19,-4.26325641456e-14,182.15,380,38_CI4,380,TensorGW reference output
a,GW100,0.5,HOMO,3,6,100/100,39.54,39.54,39.54,-7.1054273576e-15,131.6,192,64_AlI3,192,TensorGW reference output
a,GW100,0.5,HOMO,3,7,100/100,19.78,19.78,19.78,-3.5527136788e-15,57.05,106,88_C6F6,-106,TensorGW reference output
a,GW100,0.5,HOMO,3,8,100/100,15.03,15.03,15.03,-7.46069872548e-14,52.2,115,88_C6F6,-115,TensorGW reference output
a,GW100,0.5,HOMO,3,9,100/100,13.28,13.28,13.28,8.17124146124e-14,38.05,112,88_C6F6,-112,TensorGW reference output
a,GW100,0.5,HOMO,4,10,100/100,9.89,9.89,9.89,-1.08357767203e-13,39.05,100,23_C4H10,100,TensorGW reference output
a,GW100,0.5,HOMO,4,2,100/100,929.24,929.24,929.24,-1.13686837722e-13,2463.05,3446,16_F2,3446,TensorGW reference output
a,GW100,0.5,HOMO,4,3,100/100,392.77,392.77,392.77,-5.68434188608e-14,955.45,1525,16_F2,1525,TensorGW reference output
a,GW100,0.5,HOMO,4,4,100/100,167.89,167.89,167.89,-8.52651282912e-14,401.45,787,19_I2,787,TensorGW reference output
a,GW100,0.5,HOMO,4,5,100/100,64.59,64.59,64.59,8.52651282912e-14,174.1,370,38_CI4,370,TensorGW reference output
a,GW100,0.5,HOMO,4,6,100/100,36.48,36.48,36.48,4.26325641456e-14,123.8,187,64_AlI3,187,TensorGW reference output
a,GW100,0.5,HOMO,4,7,100/100,16.18,16.18,16.18,-8.52651282912e-14,50.15,112,88_C6F6,-112,TensorGW reference output
a,GW100,0.5,HOMO,4,8,100/100,12.46,12.46,12.46,-6.75015598972e-14,38.2,121,88_C6F6,-121,TensorGW reference output
a,GW100,0.5,HOMO,4,9,100/100,10.34,10.34,10.34,-2.48689957516e-14,27.4,118,88_C6F6,-118,TensorGW reference output
a,GW100,0.5,HOMO,5,10,100/100,9.26,9.26,9.26,-7.28306304154e-14,27.6,98,23_C4H10,98,TensorGW reference output
a,GW100,0.5,HOMO,5,2,100/100,925.6,925.6,925.6,0,2425,3444,16_F2,3444,TensorGW reference output
a,GW100,0.5,HOMO,5,3,100/100,389.7,389.7,389.7,-5.68434188608e-14,928.75,1522,16_F2,1522,TensorGW reference output
a,GW100,0.5,HOMO,5,4,100/100,166.61,166.61,166.61,-1.13686837722e-13,401.4,783,19_I2,783,TensorGW reference output
a,GW100,0.5,HOMO,5,5,100/100,63.77,63.77,63.77,4.26325641456e-14,173.1,370,38_CI4,370,TensorGW reference output
a,GW100,0.5,HOMO,5,6,100/100,36.1,36.1,36.1,3.5527136788e-14,123.75,186,64_AlI3,186,TensorGW reference output
a,GW100,0.5,HOMO,5,7,100/100,15.56,15.56,15.56,-9.41469124882e-14,49.2,113,88_C6F6,-113,TensorGW reference output
a,GW100,0.5,HOMO,5,8,100/100,12.02,12.02,12.02,-8.34887714518e-14,35.35,122,88_C6F6,-122,TensorGW reference output
a,GW100,0.5,HOMO,5,9,100/100,9.84,9.84,9.84,-7.1054273576e-14,25.05,118,88_C6F6,-118,TensorGW reference output
b,GW100,0.5,LUMO,2,10,100/100,14.33,14.33,14.33,8.881784197e-15,43.1,76,11_K2,76,TensorGW reference output
b,GW100,0.5,LUMO,2,2,100/100,539.94,539.94,539.94,0,1167.6,7568,43_LiH,-7568,TensorGW reference output
b,GW100,0.5,LUMO,2,3,100/100,193.81,193.81,193.81,0,524.4,1433,38_CI4,-1433,TensorGW reference output
b,GW100,0.5,LUMO,2,4,100/100,115.96,115.96,115.96,0,435.25,753,16_F2,-753,TensorGW reference output
b,GW100,0.5,LUMO,2,5,100/100,44.32,44.32,44.32,-7.1054273576e-15,110.4,199,84_BeO,199,TensorGW reference output
b,GW100,0.5,LUMO,2,6,100/100,26.57,26.57,26.57,-3.5527136788e-15,74.05,149,64_AlI3,-149,TensorGW reference output
b,GW100,0.5,LUMO,2,7,100/100,17.66,17.66,17.66,-1.06581410364e-14,49.8,78,56_TiF4,78,TensorGW reference output
b,GW100,0.5,LUMO,2,8,100/100,14.75,14.75,14.75,7.1054273576e-15,43.2,77,56_TiF4,77,TensorGW reference output
b,GW100,0.5,LUMO,2,9,100/100,14.31,14.31,14.31,8.881784197e-15,41.1,74,11_K2,74,TensorGW reference output
b,GW100,0.5,LUMO,3,10,100/100,7.15,7.15,7.15,1.06581410364e-14,25,31,90_C6H5NH2,-31,TensorGW reference output
b,GW100,0.5,LUMO,3,2,100/100,540.21,540.21,540.21,0,1209.65,7554,43_LiH,-7554,TensorGW reference output
b,GW100,0.5,LUMO,3,3,100/100,196.68,196.68,196.68,0,590.15,1441,38_CI4,-1441,TensorGW reference output
b,GW100,0.5,LUMO,3,4,100/100,120.25,120.25,120.25,-1.42108547152e-14,444.75,777,16_F2,-777,TensorGW reference output
b,GW100,0.5,LUMO,3,5,100/100,45.08,45.08,45.08,0,116.05,215,37_CBr4,-215,TensorGW reference output
b,GW100,0.5,LUMO,3,6,100/100,24.64,24.64,24.64,0,69.1,159,64_AlI3,-159,TensorGW reference output
b,GW100,0.5,LUMO,3,7,100/100,12.68,12.68,12.68,5.3290705182e-15,40.05,79,36_CCl4,-79,TensorGW reference output
b,GW100,0.5,LUMO,3,8,100/100,8.81,8.81,8.81,8.881784197e-15,24.05,28,18_Br2,28,TensorGW reference output
b,GW100,0.5,LUMO,3,9,100/100,7.23,7.23,7.23,1.68753899743e-14,21,28,90_C6H5NH2,-28,TensorGW reference output
b,GW100,0.5,LUMO,4,10,100/100,7.51,7.51,7.51,0,21.05,30,90_C6H5NH2,-30,TensorGW reference output
b,GW100,0.5,LUMO,4,2,100/100,540.7,540.7,540.7,0,1224.9,7417,43_LiH,-7417,TensorGW reference output
b,GW100,0.5,LUMO,4,3,100/100,198.29,198.29,198.29,0,579.65,1445,38_CI4,-1445,TensorGW reference output
b,GW100,0.5,LUMO,4,4,100/100,121.54,121.54,121.54,-2.84217094304e-14,445.95,788,16_F2,-788,TensorGW reference output
b,GW100,0.5,LUMO,4,5,100/100,45.97,45.97,45.97,0,120,224,37_CBr4,-224,TensorGW reference output
b,GW100,0.5,LUMO,4,6,100/100,26.01,26.01,26.01,0,68.3,163,64_AlI3,-163,TensorGW reference output
b,GW100,0.5,LUMO,4,7,100/100,13.08,13.08,13.08,1.7763568394e-15,41,87,36_CCl4,-87,TensorGW reference output
b,GW100,0.5,LUMO,4,8,100/100,8.62,8.62,8.62,1.24344978758e-14,24.05,30,86_C7H8,-30,TensorGW reference output
b,GW100,0.5,LUMO,4,9,100/100,7.02,7.02,7.02,2.6645352591e-15,21,27,90_C6H5NH2,-27,TensorGW reference output
b,GW100,0.5,LUMO,5,10,100/100,7.41,7.41,7.41,-6.2172489379e-15,20.05,29,90_C6H5NH2,-29,TensorGW reference output
b,GW100,0.5,LUMO,5,2,100/100,541.08,541.08,541.08,0,1225.95,7395,43_LiH,-7395,TensorGW reference output
b,GW100,0.5,LUMO,5,3,100/100,198.22,198.22,198.22,0,575.85,1449,38_CI4,-1449,TensorGW reference output
b,GW100,0.5,LUMO,5,4,100/100,121.62,121.62,121.62,0,445.95,791,16_F2,-791,TensorGW reference output
b,GW100,0.5,LUMO,5,5,100/100,45.91,45.91,45.91,-7.1054273576e-15,120.1,225,37_CBr4,-225,TensorGW reference output
b,GW100,0.5,LUMO,5,6,100/100,26.02,26.02,26.02,0,67.35,163,64_AlI3,-163,TensorGW reference output
b,GW100,0.5,LUMO,5,7,100/100,12.94,12.94,12.94,5.3290705182e-15,41,89,36_CCl4,-89,TensorGW reference output
b,GW100,0.5,LUMO,5,8,100/100,8.34,8.34,8.34,8.881784197e-15,23.05,28,36_CCl4,-28,TensorGW reference output
b,GW100,0.5,LUMO,5,9,100/100,6.87,6.87,6.87,8.881784197e-15,20.05,27,29_C8H8,-27,TensorGW reference output
c,GW100,3.0,HOMO,2,10,100/100,40.86,40.86,40.86,4.26325641456e-14,122.5,869,100_CuCN,869,TensorGW reference output
c,GW100,3.0,HOMO,2,2,100/100,800.75,800.75,800.75,0,2930.55,4312,16_F2,4312,TensorGW reference output
c,GW100,3.0,HOMO,2,3,100/100,273.55,273.55,273.55,-5.68434188608e-14,1098.45,1880,16_F2,1880,TensorGW reference output
c,GW100,3.0,HOMO,2,4,100/100,97.33,97.33,97.33,-8.52651282912e-14,366.55,1107,100_CuCN,1107,TensorGW reference output
c,GW100,3.0,HOMO,2,5,100/100,56.19,56.19,56.19,-4.97379915032e-14,176.05,1069,100_CuCN,1069,TensorGW reference output
c,GW100,3.0,HOMO,2,6,100/100,43.44,43.44,43.44,-8.52651282912e-14,132.3,893,100_CuCN,893,TensorGW reference output
c,GW100,3.0,HOMO,2,7,100/100,41.49,41.49,41.49,-2.84217094304e-14,127.5,891,100_CuCN,891,TensorGW reference output
c,GW100,3.0,HOMO,2,8,100/100,40.53,40.53,40.53,4.26325641456e-14,128.35,875,100_CuCN,875,TensorGW reference output
